user_id,username,password,preferences,interactions
0,user1,pass100,"Grill, Hotel, Romantic, Japanese Cuisine","Casa de Marcela, 2K RR Resto, DAPOG Lutong Kahoy"
1,user2,pass101,"Filipino Cuisine, Hotel, Pizza","Chops & Brew, Tashas Food Hub Ilocano Cuisine, Bakasyunan Resort and Conference Center Tanay"
2,user3,pass102,"Hotel, Pizza, Scenic View, Lunch, PWD Friendly, Grill","La View Mountain Resort, Mich's Garden Cafe and Restaurant, Isaw Haus - Marilaque, Tag-puan Cafe And Bistro"
3,user4,pass103,"Resort Hotel, Filipino Cuisine, Takeout Available, Grill, Alcohol Served","SkyMount Resort, Tanay Highlands, Wyndells Al Fresco, Margaux BULALOHAN at lomihan 2"
4,user5,pass104,"Dinner, Outdoor Seating, Hotel, PWD Friendly, Alcohol Served","Casa de Marcela, Annyeong Cafe, Kaminawis Grill House Restaurant, Tashas Food Hub Ilocano Cuisine, Kape Natividad"
5,user6,pass105,"Breakfast, Grill, PWD Friendly","Ganz tapsi, Midoriyama Ramen Bistro, Maniquiz Resort - One Antonio"
6,user7,pass106,"Seafood, Filipino Cuisine, Delivery Available, PWD Friendly, Breakfast","Ka Ega Pares Mami, Le Cafe Restaurant, The Balay at Camp Mayagay, SINAG Kapihan"
7,user8,pass107,"Dinner, Delivery Available, Hotel, Pizza, Coffee","La View Mountain Resort, Lanai by Annabel's, Ellen's Balcony Cafe and Restaurant"
8,user9,pass108,"Dinner, Camping, Lunch","Tag-puan Cafe And Bistro, Tinipak Lodge and Restaurant, Midoriyama Ramen Bistro"
9,user10,pass109,"Outdoor Seating, Hotel, Buffet","PADAYON Comfort Food & Coffee Tanay, Cafe Marisse, Tinipak Lodge and Restaurant, Kape Natividad"
10,user11,pass110,"Romantic, Breakfast, Japanese Cuisine, Grill, Outdoor Seating","Wyndells Al Fresco, Lanai by Annabel's, Yeyi's Pizzeria & Cafe, Isaw Haus - Marilaque"
11,user12,pass111,"Grill, PWD Friendly, Pizza, Camping, Outdoor Seating","Paseo Rizal Mayagay, Ka Ega Pares Mami, SINAG Kapihan, Momarco Resort & Hotel, Lanai by Annabel's"
12,user13,pass112,"Outdoor Seating, Seafood","Momarco Resort & Hotel, Wyndells Al Fresco, La View Mountain Resort, Tag-puan Cafe And Bistro"
13,user14,pass113,"Scenic View, Hotel, Camping","Cafe Marisse, Margaux BULALOHAN at lomihan 2, Lorenzo Garden Grill, Ganz tapsi"
14,user15,pass114,"Scenic View, Japanese Cuisine","SkyMount Resort, 2K RR Resto, Kape Natividad, Margaux BULALOHAN at lomihan 2"
15,user16,pass115,"Filipino Cuisine, Romantic, Alcohol Served","PADAYON Comfort Food & Coffee Tanay, Kape Natividad, Tag-puan Cafe And Bistro"
16,user17,pass116,"Coffee, Grill, PWD Friendly, Seafood","Lorenzo Garden Grill, Lanai by Annabel's, Tanto: Taste of Asia, Le Cafe Restaurant, BNK Cafe & Resto - Budbod ni Nanay Kaling"
17,user18,pass117,"Buffet, Coffee, Camping","Maniquiz Resort - One Antonio, SkyMount Resort, Tanto: Taste of Asia"
18,user19,pass118,"Seafood, Camping, Breakfast, Filipino Cuisine","Yeyi's Pizzeria & Cafe, Lingling's, 2K RR Resto"
19,user20,pass119,"Breakfast, Resort Hotel, Camping, Hotel, Coffee, Romantic","Paseo Rizal Mayagay, Mich's Garden Cafe and Restaurant, Chops & Brew, Ganz tapsi, Boss DJ's, Cafe Katerina"
20,user21,123,"Hotel, Hiking, Scenic View","La View Mountain Resort, Bakasyunan Resort and Conference Center Tanay"
21,kevinroi22,123,Camping,
22,user23,pass120,"Hotel, Romantic, Dinner","Casa de Marcela, Kape Natividad, PADAYON Comfort Food & Coffee Tanay"
23,user24,pass121,"Seafood, Breakfast, Delivery Available","Le Cafe Restaurant, Ka Ega Pares Mami, SINAG Kapihan"
24,user25,pass122,"Camping, Outdoor Seating, Lunch","Tag-puan Cafe And Bistro, Tinipak Lodge and Restaurant, Midoriyama Ramen Bistro"
25,user26,pass123,"Buffet, Coffee, Outdoor Seating, PWD Friendly","Cafe Marisse, Kape Natividad, Tanto: Taste of Asia"
26,user27,pass124,"Romantic, Japanese Cuisine, Grill, Takeout Available","SkyMount Resort, La View Mountain Resort, Annyeong Cafe"
27,user28,pass125,"Filipino Cuisine, Breakfast, Alcohol Served","Mich's Garden Cafe and Restaurant, 2K RR Resto, Chops & Brew"
28,user29,pass126,"Lunch, Dinner, Hotel, Outdoor Seating","Wyndells Al Fresco, Casa de Marcela, Kaminawis Grill House Restaurant"
